,co_ibge,no_municipio,nu_ocorrencias_ambulatorio,mp_municipio,nu_ocorrencias_internacoes,uf
27,330390,Petrópolis,1,"MULTIPOLYGON (((-43.028842999999995 -22.461251, -43.040383999999996 -22.456426999999998, -43.062270999999996 -22.484627, -43.079135 -22.486962, -43.076324 -22.510982, -43.110707 -22.53485, -43.117934999999996 -22.530652999999997, -43.182609 -22.55322, -43.225010999999995 -22.563633, -43.255663 -22.572267999999998, -43.260701999999995 -22.555356999999997, -43.246005 -22.527032, -43.226476 -22.516378, -43.296372999999996 -22.475714, -43.289797 -22.457787, -43.320346 -22.459006, -43.351251999999995 -22.448909999999998, -43.370269 -22.451712999999998, -43.374434 -22.435878, -43.360963999999996 -22.419594, -43.337992 -22.414745, -43.316052 -22.381317, -43.288669 -22.370735, -43.241862 -22.303100999999998, -43.235482 -22.311654, -43.206418 -22.299001, -43.18167 -22.301144999999998, -43.17387 -22.310171999999998, -43.145525 -22.304004, -43.139844 -22.284731, -43.122885 -22.275819, -43.106345999999995 -22.281544, -43.0899 -22.261357999999998, -43.093802 -22.242285, -43.075948 -22.223457999999997, -43.047757 -22.208605, -43.029035 -22.202593, -43.015381999999995 -22.223311, -42.998143999999996 -22.225868, -42.980623 -22.2487, -42.980608 -22.264699999999998, -42.989818 -22.278437, -43.013881999999995 -22.287884, -43.01408 -22.301993, -43.036394 -22.308363999999997, -43.046254999999995 -22.326413, -43.033907 -22.327267, -43.022852 -22.355829999999997, -43.034037999999995 -22.372505999999998, -43.029494 -22.400033999999998, -43.03763 -22.411096999999998, -43.023254 -22.441772, -43.028842999999995 -22.461251)))",15,RJ
28,230440,Fortaleza,3,"MULTIPOLYGON (((-38.542319 -3.85919, -38.541359 -3.853367, -38.587599999999995 -3.838911, -38.614695 -3.823935, -38.637903 -3.801395, -38.622516 -3.781788, -38.601161 -3.734778, -38.619222 -3.719549, -38.622232 -3.702876, -38.587582999999995 -3.696406, -38.586664999999996 -3.692026, -38.540102999999995 -3.715938, -38.495852 -3.725034, -38.46384 -3.707242, -38.435822 -3.77057, -38.401767 -3.823759, -38.409396 -3.819093, -38.442929 -3.80155, -38.449889 -3.837874, -38.466333999999996 -3.843507, -38.501875999999996 -3.888182, -38.514064 -3.894603, -38.531158 -3.879367, -38.518954 -3.864611, -38.542319 -3.85919)))",14,CE
29,420540,Florianópolis,4,"MULTIPOLYGON (((-48.576633 -27.844006, -48.576992 -27.825761999999997, -48.590306999999996 -27.810478, -48.591587999999994 -27.789168999999998, -48.601807 -27.777960999999998, -48.588029 -27.751931, -48.598681 -27.735651999999998, -48.602672 -27.662603999999998, -48.594294 -27.642552, -48.613262999999996 -27.618365999999998, -48.597108 -27.570318, -48.569654 -27.548662999999998, -48.576181 -27.517166, -48.590784 -27.483525, -48.584939999999996 -27.454819999999998, -48.552499999999995 -27.441800999999998, -48.532758 -27.42764, -48.52627 -27.408261999999997, -48.483472 -27.378283, -48.416790999999996 -27.380577, -48.395592 -27.430678, -48.370602 -27.449841, -48.381789999999995 -27.481499, -48.406352999999996 -27.507144999999998, -48.429347 -27.555168, -48.425262 -27.573216, -48.411986999999996 -27.575419999999998, -48.439378 -27.617766, -48.467304 -27.651187, -48.481041 -27.689891, -48.505489999999995 -27.723972999999997, -48.507529999999996 -27.74429, -48.478189 -27.761877, -48.497116 -27.794985999999998, -48.517627999999995 -27.781520999999998, -48.534262999999996 -27.795833, -48.544823 -27.830378, -48.576633 -27.844006)), ((-48.359232 -27.274217, -48.358498 -27.292679, -48.377098 -27.283459999999998, -48.359232 -27.274217)))",14,SC
30,317020,Uberlândia,29,"MULTIPOLYGON (((-48.061389999999996 -18.885827, -48.038019999999996 -18.889815, -48.047472 -18.910788, -48.021041 -18.905686, -48.009319999999995 -18.932934, -48.018457 -18.985528, -48.012159 -19.001856999999998, -47.99502 -18.992827, -47.960097999999995 -19.020386, -47.981477999999996 -19.044034, -47.94414 -19.053824, -47.958092 -19.062583, -47.931912 -19.068129, -47.92707 -19.093, -47.913463 -19.096591999999998, -47.920598 -19.134729999999998, -47.910909 -19.164568, -47.903433 -19.210632, -47.913174999999995 -19.223595, -47.902957 -19.264184, -47.908390999999995 -19.272396999999998, -47.929604999999995 -19.266112, -47.927388 -19.277223, -47.948513999999996 -19.293786, -47.946883 -19.310069, -47.959151 -19.337041, -47.978229999999996 -19.330078999999998, -47.988726 -19.311183, -47.986419999999995 -19.282373, -47.999826 -19.255402, -48.028419 -19.243195999999998, -48.069705 -19.240244, -48.076975999999995 -19.24647, -48.092783999999995 -19.228825, -48.087858 -19.215418, -48.112344 -19.191503, -48.113201 -19.177393, -48.130081 -19.179039, -48.149511999999994 -19.158385, -48.187098999999996 -19.148457999999998, -48.188962 -19.171651999999998, -48.22906 -19.190333, -48.225263999999996 -19.216852, -48.267880999999996 -19.23782, -48.309219999999996 -19.284256, -48.342982 -19.282353, -48.318656 -19.318797999999997, -48.331714 -19.34566, -48.346799999999995 -19.346452, -48.339732 -19.399231999999998, -48.355213 -19.411808, -48.366858 -19.416498999999998, -48.3993 -19.410332999999998, -48.402604 -19.402545999999997, -48.444185 -19.388291, -48.457674999999995 -19.364214, -48.476544999999994 -19.345769999999998, -48.463169 -19.332189, -48.491119 -19.309434, -48.499354 -19.290979, -48.528715999999996 -19.262487, -48.540178 -19.262051, -48.577861999999996 -19.228877, -48.62323 -19.208036999999997, -48.645509 -19.208954, -48.657871 -19.196531999999998, -48.687732 -19.194892, -48.704377 -19.179827, -48.724592 -19.180567999999997, -48.753530999999995 -19.14782, -48.767367 -19.143342, -48.823553999999994 -19.103351, -48.796726 -19.08491, -48.760282 -19.075741, -48.745401 -19.079171, -48.72097 -19.069746, -48.706412 -19.074113, -48.676162 -19.018621, -48.658328 -19.009176999999998, -48.642672999999995 -18.98857, -48.643398 -18.970487, -48.624659 -18.955735, -48.590140999999996 -18.984977, -48.571780999999994 -18.994367, -48.536635 -18.962735, -48.519675 -18.907216, -48.537596 -18.891788, -48.552754 -18.893128, -48.575815999999996 -18.867334, -48.593219 -18.8604, -48.601213 -18.839532, -48.562462 -18.824066, -48.553042999999995 -18.78838, -48.518046999999996 -18.777979, -48.498242999999995 -18.757155, -48.50768 -18.734388, -48.517326999999995 -18.68966, -48.506685 -18.666334, -48.533891999999994 -18.629838, -48.533826 -18.613847, -48.51744 -18.59469, -48.494499 -18.593071, -48.45661 -18.642609, -48.436678 -18.643479, -48.43843 -18.660034, -48.409904 -18.666733999999998, -48.395219 -18.633736, -48.379003 -18.641296999999998, -48.363192999999995 -18.630672999999998, -48.328075 -18.638389999999998, -48.336071999999994 -18.660515999999998, -48.314549 -18.677614, -48.322948 -18.685164, -48.307612999999996 -18.727368, -48.280598999999995 -18.732286, -48.25763 -18.727004, -48.275544 -18.74757, -48.257968999999996 -18.77524, -48.222065 -18.757752999999997, -48.188199999999995 -18.760832, -48.197444 -18.791200999999997, -48.177963 -18.777604999999998, -48.159979 -18.809817, -48.141511 -18.806435, -48.150922 -18.793578, -48.137747999999995 -18.785808, -48.132736 -18.812459999999998, -48.113471999999994 -18.801108, -48.111031 -18.816523999999998, -48.094449 -18.826771, -48.113465999999995 -18.842745999999998, -48.088414 -18.842676, -48.091021999999995 -18.858969, -48.077841 -18.864154, -48.080813 -18.886188999999998, -48.061389999999996 -18.885827)))",14,MG
31,420890,Jaraguá do Sul,120,"MULTIPOLYGON (((-49.050782 -26.515366999999998, -49.061226999999995 -26.543546, -49.089873999999995 -26.547843, -49.090238 -26.569938999999998, -49.106863 -26.58121, -49.114152999999995 -26.613076, -49.129236 -26.621229999999997, -49.130022999999994 -26.635521999999998, -49.164125999999996 -26.648222999999998, -49.175298 -26.613785999999998, -49.200914999999995 -26.622276, -49.22314 -26.620514999999997, -49.246446 -26.610630999999998, -49.262423999999996 -26.616878, -49.284760999999996 -26.607218999999997, -49.298879 -26.570863, -49.291368 -26.547137, -49.268645 -26.529239999999998, -49.25349 -26.50586, -49.213043 -26.485962999999998, -49.207862999999996 -26.440535999999998, -49.185441 -26.434689, -49.187973 -26.390114999999998, -49.167142 -26.380352, -49.158522999999995 -26.358189, -49.168867999999996 -26.343113, -49.168946 -26.307976999999998, -49.252064999999995 -26.268217, -49.227767 -26.267595999999998, -49.231012 -26.245964999999998, -49.202600999999994 -26.220249, -49.169565 -26.218026, -49.17572 -26.257063, -49.144740999999996 -26.316205999999998, -49.146131999999994 -26.326973, -49.10857 -26.373663, -49.111816999999995 -26.396084, -49.076995 -26.419696, -49.078008999999994 -26.426515, -49.044286 -26.453684, -49.028563 -26.45703, -49.032264999999995 -26.476343999999997, -49.016422999999996 -26.505513999999998, -49.021597 -26.516332, -49.050782 -26.515366999999998)))",13,SC
32,270430,Maceió,18,"MULTIPOLYGON (((-35.769605999999996 -9.389593, -35.69055 -9.371, -35.676649999999995 -9.398583, -35.663883 -9.43066, -35.625488 -9.448279, -35.618036 -9.469114, -35.590101 -9.469111999999999, -35.55849 -9.48753, -35.587191 -9.511569, -35.592829 -9.530769, -35.650797 -9.568541999999999, -35.690906999999996 -9.619876999999999, -35.699599 -9.648849, -35.723693 -9.684654, -35.733029 -9.671204, -35.761144 -9.683243, -35.789840999999996 -9.711174, -35.782579 -9.696223999999999, -35.791163 -9.680579999999999, -35.769405 -9.638962, -35.793521999999996 -9.600136, -35.814353 -9.580005, -35.796704 -9.531526, -35.769605999999996 -9.389593)))",13,AL
33,320500,Serra,10,"MULTIPOLYGON (((-40.191807999999995 -20.054499999999997, -40.173311 -20.077139, -40.171968 -20.106999, -40.184374 -20.148526999999998, -40.183824 -20.167288, -40.198541 -20.216072999999998, -40.214943 -20.242645, -40.221005999999996 -20.238955, -40.3292 -20.239265, -40.328944 -20.260424, -40.361948 -20.233414, -40.373349999999995 -20.214876999999998, -40.392842 -20.172292, -40.421561 -20.162222999999997, -40.435759999999995 -20.135267, -40.433389999999996 -20.094932, -40.416233999999996 -20.016641999999997, -40.384704 -20.01428, -40.356673 -20.04879, -40.343933 -20.036542, -40.290152 -20.022976, -40.263076999999996 -20.031371, -40.258047 -20.040613999999998, -40.23402 -20.042754, -40.22849 -20.025983, -40.195056 -20.035686, -40.191807999999995 -20.054499999999997)))",12,ES
34,520870,Goiânia,10,"MULTIPOLYGON (((-49.158908 -16.790758, -49.183082999999996 -16.780409, -49.187416 -16.764339, -49.220926999999996 -16.738118, -49.254855 -16.731538, -49.2881 -16.748265, -49.331506 -16.74945, -49.349626 -16.764215999999998, -49.365415 -16.818113, -49.384133 -16.831875999999998, -49.386907 -16.811562, -49.41223 -16.740799, -49.429877999999995 -16.719307, -49.444612 -16.717717999999998, -49.439735999999996 -16.67134, -49.401492999999995 -16.643051, -49.38706 -16.645034, -49.380145 -16.630264, -49.391819999999996 -16.597798, -49.353102 -16.564474999999998, -49.3296 -16.570199, -49.32795 -16.55652, -49.310105 -16.529756, -49.284202 -16.53182, -49.263372 -16.515899, -49.251069 -16.489843999999998, -49.213696999999996 -16.453786, -49.180718 -16.465649, -49.172107 -16.480190999999998, -49.193728 -16.488871, -49.19399 -16.520795, -49.175484 -16.539495, -49.18072 -16.550334, -49.163694 -16.578081, -49.134311 -16.579404, -49.119496999999996 -16.565141999999998, -49.092940999999996 -16.569626, -49.095842 -16.589178, -49.078019 -16.593484999999998, -49.116445999999996 -16.619359, -49.147642 -16.647205, -49.166557 -16.650902, -49.176927 -16.674089, -49.19686 -16.691716, -49.174793 -16.721197, -49.155066999999995 -16.716478, -49.140586 -16.750049999999998, -49.153954999999996 -16.748476, -49.158908 -16.790758)))",12,GO
35,310620,Belo Horizonte,148,"MULTIPOLYGON (((-43.870106 -19.927872999999998, -43.910834 -19.961024, -43.939710999999996 -19.975369, -43.963912 -20.003003, -43.983587 -20.016389999999998, -44.001135 -20.056658, -44.018623999999996 -20.05433, -44.010121999999996 -20.039102, -44.036798 -20.021274, -44.062869 -19.976826, -44.038495999999995 -19.982674, -44.012426999999995 -19.966628999999998, -44.011745 -19.946946999999998, -44.023821999999996 -19.943523, -44.025898 -19.899095, -44.013107 -19.882148, -44.022233 -19.867919999999998, -44.008652 -19.853459, -44.016769 -19.830776, -44.005648 -19.820384, -43.989559 -19.784705, -43.975386 -19.782284, -43.946076 -19.777241, -43.947838999999995 -19.792796, -43.897315 -19.803808999999998, -43.86199 -19.827768, -43.865209 -19.857394, -43.877517 -19.868499999999997, -43.894706 -19.864573, -43.905929 -19.886481999999997, -43.890293 -19.886722, -43.870106 -19.927872999999998)))",12,MG
36,293330,Vitória da Conquista,2,"MULTIPOLYGON (((-40.701847 -15.076360999999999, -40.819886 -15.202675999999999, -40.847578 -15.269409999999999, -40.816964999999996 -15.285260999999998, -40.820349 -15.304053, -40.835477999999995 -15.297559999999999, -40.881768 -15.293465, -40.885545 -15.297701, -40.906285 -15.309071, -40.906109 -15.320345, -40.933684 -15.338970999999999, -40.941396999999995 -15.358875, -40.933259 -15.371512, -40.926125 -15.422749, -40.935649999999995 -15.444424, -40.97537 -15.475816, -41.002573999999996 -15.478314, -41.034358 -15.472752, -41.056796 -15.459766, -41.08183 -15.458074, -41.097359999999995 -15.422161, -41.139848 -15.402121, -41.142995 -15.386087999999999, -41.13324 -15.371860999999999, -41.1448 -15.345123, -41.1448 -15.304340999999999, -41.158401999999995 -15.310165, -41.157784 -15.262238, -41.147822 -15.232059999999999, -41.163959 -15.199648999999999, -41.161001999999996 -15.188543, -41.129704 -15.167178, -41.116127999999996 -15.132099, -41.093843 -15.114108, -41.08725 -15.044084, -41.125005 -14.995159999999998, -41.126129999999996 -14.97678, -41.140043 -14.963567, -41.137876999999996 -14.930954, -41.151427999999996 -14.90639, -41.142359 -14.882432999999999, -41.152933999999995 -14.861977, -41.171521999999996 -14.853722999999999, -40.963662 -14.788744, -40.958771999999996 -14.67429, -40.748747 -14.675379999999999, -40.614615 -14.670922, -40.525518999999996 -14.756355, -40.668855 -14.828130999999999, -40.704102 -14.863228, -40.723267 -14.897917, -40.711725 -14.935704999999999, -40.722522999999995 -14.952656999999999, -40.723182 -14.974623, -40.740209 -15.000789999999999, -40.705743999999996 -15.015293999999999, -40.700271 -15.026584, -40.711304 -15.047255, -40.701847 -15.076360999999999)))",11,BA
37,355220,Sorocaba,5,"MULTIPOLYGON (((-47.492520999999996 -23.584168, -47.518862 -23.58909, -47.556526999999996 -23.573522999999998, -47.565497 -23.542044, -47.554663 -23.529342, -47.552222 -23.487607999999998, -47.565000999999995 -23.467872999999997, -47.547582 -23.461302999999997, -47.541112 -23.43767, -47.544132999999995 -23.399092, -47.565003 -23.382652, -47.53129 -23.37611, -47.504400999999994 -23.359714, -47.474948 -23.362233, -47.471227 -23.353979, -47.418172999999996 -23.357727, -47.40569 -23.354756, -47.384924999999996 -23.3932, -47.352559 -23.394025, -47.368586 -23.402191, -47.340547 -23.436652, -47.326391 -23.439923, -47.316967 -23.463438999999997, -47.323612 -23.513893, -47.302796 -23.524131999999998, -47.307463 -23.561007, -47.355503999999996 -23.560395999999997, -47.364740999999995 -23.523972, -47.400133 -23.526678999999998, -47.444452999999996 -23.522157999999997, -47.465401 -23.533901999999998, -47.475663 -23.549567999999997, -47.502767999999996 -23.535816, -47.516369999999995 -23.542835999999998, -47.493942999999994 -23.557752999999998, -47.492520999999996 -23.584168)))",11,SP
38,420240,Blumenau,553,"MULTIPOLYGON (((-49.057238 -27.061531, -49.058538999999996 -27.098947, -49.085831 -27.122384999999998, -49.103079 -27.115018, -49.128851 -27.122090999999998, -49.138456999999995 -27.132535999999998, -49.15463 -27.119626, -49.154672999999995 -27.097306, -49.144000999999996 -27.094020999999998, -49.131225 -27.068337999999997, -49.136261999999995 -27.046754999999997, -49.127871999999996 -27.032162999999997, -49.136525999999996 -27.01467, -49.150562 -27.011058, -49.162873999999995 -26.990443, -49.158242 -26.969582, -49.176700999999994 -26.917628999999998, -49.160148 -26.885596999999997, -49.186623999999995 -26.876191, -49.174183 -26.869249999999997, -49.194517999999995 -26.855086999999997, -49.200796999999994 -26.834737, -49.198048 -26.836312, -49.163543999999995 -26.837977, -49.127735 -26.832593, -49.128294999999994 -26.810333, -49.119397 -26.785068, -49.125029999999995 -26.748441999999997, -49.110261 -26.74385, -49.111048 -26.722011, -49.13268 -26.708921999999998, -49.127556 -26.679986, -49.130022999999994 -26.635521999999998, -49.129236 -26.621229999999997, -49.114152999999995 -26.613076, -49.107496999999995 -26.658699, -49.046352 -26.649950999999998, -49.018175 -26.684642, -49.049155999999996 -26.709277, -49.040274 -26.735189, -49.050022 -26.742099, -49.036196 -26.772527999999998, -49.030338 -26.778398, -49.045939 -26.776007, -49.048936 -26.824814, -49.03872 -26.838938, -49.044228999999994 -26.877806999999997, -49.012277 -26.906944, -49.028177 -26.934189, -49.057463 -26.954673999999997, -49.041160999999995 -26.976746, -49.056261 -26.993627, -49.054089999999995 -27.034060999999998, -49.065793 -27.043335, -49.057238 -27.061531)))",11,SC
39,354850,Santos,6,"MULTIPOLYGON (((-46.355126 -23.971069999999997, -46.362389 -23.952633, -46.38294 -23.949617999999997, -46.386333 -23.932997999999998, -46.403006 -23.92183, -46.370109 -23.913867, -46.376008999999996 -23.90306, -46.374939999999995 -23.868318, -46.350994 -23.841763999999998, -46.343731999999996 -23.825153999999998, -46.320291999999995 -23.803096999999998, -46.278391 -23.770307, -46.260279999999995 -23.767913, -46.239627999999996 -23.735875, -46.202372999999994 -23.7513, -46.221395 -23.773151, -46.240953999999995 -23.77387, -46.2399 -23.799294, -46.209782 -23.813167999999997, -46.212101999999994 -23.824068999999998, -46.238479999999996 -23.839432, -46.233601 -23.860312, -46.216570999999995 -23.859282, -46.199529999999996 -23.880086, -46.177803999999995 -23.888887999999998, -46.211856 -23.915941, -46.225601999999995 -23.909796999999998, -46.237626 -23.922017, -46.299735999999996 -23.916572, -46.311651999999995 -23.927934999999998, -46.306782999999996 -23.953083, -46.292639 -23.969746999999998, -46.290865 -23.986667, -46.306326 -23.993084, -46.320448999999996 -23.976920999999997, -46.355126 -23.971069999999997)))",10,SP
40,510760,Rondonópolis,7,"MULTIPOLYGON (((-54.189437999999996 -16.628006, -54.195321 -16.659563, -54.452953 -16.559666, -54.484925 -16.574969, -54.498180999999995 -16.566064, -54.532931 -16.5702, -54.532990999999996 -16.592437999999998, -54.55372 -16.610212, -54.539871999999995 -16.636198999999998, -54.546451999999995 -16.651659, -54.569857999999996 -16.669156, -54.587067999999995 -16.672479, -54.599281 -16.704822, -54.590146 -16.712087, -54.598509 -16.730339, -54.586583999999995 -16.75647, -54.58248 -17.078343, -54.645733 -17.100398, -54.688672 -17.082905, -54.726375999999995 -17.04067, -54.841224 -17.072886999999998, -54.868356 -17.077282, -54.895098999999995 -17.074154999999998, -54.916895 -17.072034, -54.921963 -17.056615, -54.904970999999996 -17.015593, -54.932525 -17.015665, -54.927884999999996 -16.979115999999998, -54.909275 -16.971978, -54.932398 -16.955789, -54.917963 -16.940283, -54.916177999999995 -16.920866999999998, -54.931275 -16.9259, -54.919619999999995 -16.906299, -54.932168 -16.904235, -54.916444999999996 -16.876922, -54.895362999999996 -16.874420999999998, -54.903541999999995 -16.857668, -54.885028999999996 -16.837754, -54.90298 -16.817974, -54.895165 -16.799144, -54.916149 -16.781228, -54.913899 -16.768622, -54.939235 -16.773816, -54.932739 -16.762466, -54.944945999999995 -16.745262999999998, -54.949794999999995 -16.721491, -54.93306 -16.697917, -54.959128 -16.704669, -54.948800999999996 -16.684682, -54.975426999999996 -16.673237, -54.996271 -16.681303, -54.993247 -16.661922999999998, -54.968215 -16.647693999999998, -54.957739 -16.625346, -54.96752 -16.608522999999998, -54.957124 -16.601256, -54.97327 -16.584207, -54.974298 -16.56933, -54.949296 -16.560513999999998, -54.958323 -16.54119, -54.936518 -16.534862999999998, -54.970951 -16.47104, -54.978581 -16.455139, -54.957322 -16.405020999999998, -54.943991999999994 -16.404339999999998, -54.934607 -16.374461999999998, -54.944086 -16.354567, -54.940556 -16.328509, -54.92537 -16.308235, -54.912687 -16.309922999999998, -54.908625 -16.268902999999998, -54.871373999999996 -16.274258, -54.825303999999996 -16.262446999999998, -54.810762 -16.244563, -54.797723999999995 -16.211904, -54.740238 -16.185734999999998, -54.719376999999994 -16.165853, -54.694294 -16.166634, -54.655719999999995 -16.133518, -54.595651 -16.120338999999998, -54.568222999999996 -16.107312, -54.533874999999995 -16.082511999999998, -54.520444 -16.085245999999998, -54.479402 -16.068393, -54.483159 -16.10436, -54.458833 -16.134526, -54.418554 -16.143501, -54.420685 -16.165737, -54.434774 -16.186394, -54.449949 -16.191803999999998, -54.463476 -16.23737, -54.437791999999995 -16.277345, -54.429885999999996 -16.266018, -54.394413 -16.295538999999998, -54.389134999999996 -16.327728999999998, -54.353539999999995 -16.333091, -54.338609 -16.3252, -54.323975999999995 -16.354615, -54.335164 -16.358531, -54.345918 -16.383076, -54.332012 -16.413439, -54.353365999999994 -16.426274, -54.357875 -16.466257, -54.368237 -16.479992, -54.356201999999996 -16.498704, -54.381178999999996 -16.505713, -54.368154 -16.538762, -54.345028 -16.547539999999998, -54.337139 -16.577917, -54.323543 -16.580371, -54.313894 -16.596896, -54.294906999999995 -16.577939999999998, -54.285978 -16.588293999999998, -54.265892 -16.580348, -54.23158 -16.601049, -54.230557 -16.613205, -54.189437999999996 -16.628006)))",10,MT
41,330340,Nova Friburgo,20,"MULTIPOLYGON (((-42.727588999999995 -22.355577, -42.718028 -22.330326, -42.726284 -22.318217, -42.711009 -22.287278999999998, -42.713992 -22.26614, -42.675928 -22.239762, -42.668481 -22.220278999999998, -42.642191 -22.20938, -42.641967 -22.187831, -42.611768999999995 -22.196420999999997, -42.583482 -22.176592, -42.573854999999995 -22.181207999999998, -42.557497 -22.163648, -42.54394 -22.154495, -42.522113999999995 -22.159948, -42.471955 -22.211132, -42.474118999999995 -22.224308, -42.358641999999996 -22.301686999999998, -42.343649 -22.304242, -42.287541 -22.292164, -42.265851 -22.306883, -42.250887 -22.306103, -42.264173 -22.315549999999998, -42.215607 -22.341656999999998, -42.205324999999995 -22.369128, -42.218261999999996 -22.354789, -42.276013999999996 -22.379035, -42.294173 -22.392301999999997, -42.277557 -22.401733, -42.314912 -22.424568, -42.354848 -22.429171, -42.368291 -22.418957, -42.452293 -22.434756999999998, -42.475010999999995 -22.449127, -42.493123999999995 -22.435544999999998, -42.511905999999996 -22.434849999999997, -42.536553 -22.457693, -42.550571 -22.455754, -42.573952 -22.438109, -42.556232 -22.423970999999998, -42.551162 -22.386889, -42.565218 -22.359092999999998, -42.584604999999996 -22.355287999999998, -42.611761 -22.382011, -42.653573 -22.395097, -42.662071999999995 -22.385413999999997, -42.679438999999995 -22.392428, -42.710485 -22.378145999999997, -42.708270999999996 -22.365339, -42.727588999999995 -22.355577)))",10,RJ
